"Rank","Urban area","Population","County"
1,"Oslo",1000467,"Oslo/Viken"
2,"Bergen Metropolitan Area","420 000","Vestland"
3,"Stavanger / Sandnes",222697,"Rogaland"
4,"Trondheim",183378,"Trøndelag"
5,"Drammen",117510,"Viken"
6,"Fredrikstad / Sarpsborg",112464,"Viken"
7,"Skien / Porsgrunn",93065,"Vestfold og Telemark"
8,"Kristiansand",63441,"Agder"
9,"Ålesund",52625,"Møre og Romsdal"
10,"Tønsberg",51887,"Vestfold og Telemark"
11,"Moss",47008,"Viken"
12,"Haugesund",44873,"Rogaland"
13,"Sandefjord",44046,"Vestfold og Telemark"
14,"Arendal",43396,"Agder"
15,"Bodø",41215,"Nordland"
16,"Tromsø",39762,"Troms og Finnmark"
17,"Hamar",27665,"Innlandet"
18,"Halden",25551,"Viken"
19,"Larvik",24357,"Vestfold og Telemark"
20,"Askøy",23438,"Vestland"
21,"Kongsberg",22047,"Viken"
22,"Harstad",20977,"Troms og Finnmark"
23,"Molde",20957,"Møre og Romsdal"
24,"Gjøvik",20549,"Innlandet"
25,"Lillehammer",20536,"Innlandet"
26,"Horten",20469,"Vestfold og Telemark"
27,"Ski",19506,"Viken"
28,"Mo i Rana",18866,"Nordland"
29,"Jessheim",18726,"Viken"
30,"Kristiansund",18412,"Møre og Romsdal"
31,"Korsvik",17464,"Agder"
32,"Tromsdalen",16787,"Troms og Finnmark"
33,"Hønefoss",15662,"Viken"
34,"Alta",15094,"Troms og Finnmark"
35,"Elverum",14887,"Innlandet"
36,"Narvik",14261,"Nordland"
37,"Askim",14259,"Viken"
38,"Leirvik",14171,"Vestland"
39,"Osøyro","14 046","Vestland"
40,"Drøbak",13409,"Viken"
41,"Råholt",13156,"Viken"
42,"Vennesla",12920,"Agder"
43,"Grimstad",12899,"Agder"
44,"Nesoddtangen",12803,"Viken"
45,"Steinkjer",12744,"Trøndelag"
46,"Stjørdalshalsen",12737,"Trøndelag"
47,"Kongsvinger",12014,"Innlandet"
48,"Bryne",11961,"Rogaland"
49,"Egersund",11519,"Rogaland"
50,"Kopervik",11434,"Rogaland"
51,"Lommedalen",11327,"Viken"
52,"Ålgård/Figgjo",11308,"Rogaland"
53,"Knarrevik/Straume",10988,"Vestland"
54,"Mandal",10851,"Agder"
55,"Jørpeland/Nag",10343,"Rogaland"
56,"Førde",10315,"Vestland"
57,"Ås",10110,"Viken"
58,"Levanger",10008,"Trøndelag"
59,"Brumunddal",10006,"Innlandet"
60,"Arna",9753,"Vestland"
61,"Mosjøen",9841,"Nordland"
62,"Søgne",9259,"Agder"
63,"Notodden",9077,"Vestfold og Telemark"
64,"Florø",8677,"Vestland"
65,"Namsos",8282,"Trøndelag"
66,"Kleppe/Verdalen",8240,"Rogaland"
67,"Åkrehamn",7715,"Rogaland"
68,"Kvaløysletta",7976,"Troms og Finnmark"
69,"Verdalsøra",7906,"Trøndelag"
70,"Orkanger/Fannrem",7812,"Trøndelag"
72,"Hammerfest",7568,"Troms og Finnmark"
72,"Fetsund",7497,"Viken"
73,"Kløfta",7170,"Viken"
74,"Lillesand",7043,"Agder"
75,"Kvernaland",6969,"Rogaland"
76,"Raufoss",6962,"Innlandet"
77,"Ørsta",6858,"Møre og Romsdal"
78,"Holmestrand",6823,"Vestfold og Telemark"
79,"Malvik",6660,"Trøndelag"
80,"Nærbø",6623,"Rogaland"
81,"Mysen",6321,"Viken"
82,"Tananger",6152,"Rogaland"
83,"Åmot/Geithus",6132,"Viken"
84,"Volda",6114,"Møre og Romsdal"
85,"Fauske",6061,"Nordland"
86,"Vossevangen",6053,"Vestland"
87,"Hommersåk",6042,"Rogaland"
88,"Ulsteinvik",6033,"Møre og Romsdal"
89,"Flekkefjord",5950,"Agder"
90,"Sandnessjøen",5930,"Nordland"
91,"Melhus",5894,"Trøndelag"
92,"Bekkelaget",5864,"Innlandet"
93,"Stavern",5659,"Vestfold og Telemark"
94,"Tranby",5512,"Viken"
95,"Rotnes",5491,"Viken"
96,"Kragerø",5446,"Vestfold og Telemark"
97,"Sætre",5248,"Viken"
98,"Spydeberg",5246,"Østfold"
99,"Knarvik",5207,"Vestland"
100,"Førdesfjorden",5178,"Rogaland"
