,y,ds
44,19.8,08-09-2020
113,16.9,25-08-2020
147,21.9,18-08-2020
217,22.8,04-08-2020
294,19.9,21-07-2020
397,10.0,30-06-2020
432,10.0,23-06-2020
544,19.8,02-06-2020
626,24.8,19-05-2020
661,21.8,12-05-2020
696,21.8,05-05-2020
734,21.9,28-04-2020
810,21.9,14-04-2020
885,21.9,31-03-2020
1194,19.8,04-02-2020
1299,18.8,14-01-2020
1342,17.8,07-01-2020
1379,17.8,24-12-2019
1447,14.5,10-12-2019
1486,14.8,03-12-2019
1563,14.9,19-11-2019
1703,22.8,22-10-2019
1774,19.9,08-10-2019
1851,19.9,24-09-2019
1925,19.9,10-09-2019
1961,18.8,03-09-2019
1995,19.9,27-08-2019
2066,14.9,13-08-2019
2105,14.8,06-08-2019
2191,14.8,23-07-2019
2255,9.8,09-07-2019
2296,9.8,02-07-2019
2331,9.9,25-06-2019
2369,9.9,18-06-2019
2436,14.9,04-06-2019
2504,19.8,21-05-2019
2590,17.9,07-05-2019
2626,19.8,30-04-2019
2848,16.0,19-03-2019
2888,12.9,12-03-2019
2966,17.9,26-02-2019
3101,10.0,29-01-2019
3181,10.0,15-01-2019
3215,19.9,08-01-2019
