"longtitude","latitude"
6.5,58
7,58
7.5,58
8,58
8.5,58
9,58
5.5,58.5
6,58.5
6.5,58.5
7,58.5
7.5,58.5
8,58.5
8.5,58.5
9,58.5
9.5,58.5
10,58.5
10.5,58.5
4.5,59
5,59
5.5,59
6,59
6.5,59
7,59
7.5,59
8,59
8.5,59
9,59
9.5,59
10,59
10.5,59
11,59
11.5,59
12,59
4.5,59.5
5,59.5
5.5,59.5
6,59.5
6.5,59.5
7,59.5
7.5,59.5
8,59.5
8.5,59.5
9,59.5
9.5,59.5
10,59.5
10.5,59.5
11,59.5
11.5,59.5
12,59.5
4.5,60
5,60
5.5,60
6,60
6.5,60
7,60
7.5,60
8,60
8.5,60
9,60
9.5,60
10,60
10.5,60
11,60
11.5,60
12,60
12.5,60
13,60
4.5,60.5
5,60.5
5.5,60.5
6,60.5
6.5,60.5
7,60.5
7.5,60.5
8,60.5
8.5,60.5
9,60.5
9.5,60.5
10,60.5
10.5,60.5
11,60.5
11.5,60.5
12,60.5
12.5,60.5
4.5,61
5,61
5.5,61
6,61
6.5,61
7,61
7.5,61
8,61
8.5,61
9,61
9.5,61
10,61
10.5,61
11,61
11.5,61
12,61
12.5,61
13,61
4.5,61.5
5,61.5
5.5,61.5
6,61.5
6.5,61.5
7,61.5
7.5,61.5
8,61.5
8.5,61.5
9,61.5
9.5,61.5
10,61.5
10.5,61.5
11,61.5
11.5,61.5
12,61.5
12.5,61.5
5,62
5.5,62
6,62
6.5,62
7,62
7.5,62
8,62
8.5,62
9,62
9.5,62
10,62
10.5,62
11,62
11.5,62
12,62
12.5,62
6,62.5
6.5,62.5
7,62.5
7.5,62.5
8,62.5
8.5,62.5
9,62.5
9.5,62.5
10,62.5
10.5,62.5
11,62.5
11.5,62.5
12,62.5
12.5,62.5
7.5,63
8,63
8.5,63
9,63
9.5,63
10,63
10.5,63
11,63
11.5,63
12,63
12.5,63
8.5,63.5
9,63.5
9.5,63.5
10,63.5
10.5,63.5
11,63.5
11.5,63.5
12,63.5
12.5,63.5
13,63.5
9.5,64
10,64
10.5,64
11,64
11.5,64
12,64
12.5,64
13,64
13.5,64
14,64
14.5,64
10.5,64.5
11,64.5
11.5,64.5
12,64.5
12.5,64.5
13,64.5
13.5,64.5
14,64.5
14.5,64.5
11.5,65
12,65
12.5,65
13,65
13.5,65
14,65
14.5,65
15,65
11.5,65.5
12,65.5
12.5,65.5
13,65.5
13.5,65.5
14,65.5
14.5,65.5
15,65.5
12,66
12.5,66
13,66
13.5,66
14,66
14.5,66
15,66
15.5,66
16,66
12.5,66.5
13,66.5
13.5,66.5
14,66.5
14.5,66.5
15,66.5
15.5,66.5
16,66.5
16.5,66.5
12.5,67
13,67
13.5,67
14,67
14.5,67
15,67
15.5,67
16,67
16.5,67
17,67
12,67.5
12.5,67.5
13,67.5
13.5,67.5
14,67.5
14.5,67.5
15,67.5
15.5,67.5
16,67.5
16.5,67.5
17,67.5
13,68
13.5,68
14,68
14.5,68
15,68
15.5,68
16,68
16.5,68
17,68
17.5,68
18,68
18.5,68
13.5,68.5
14,68.5
14.5,68.5
15,68.5
15.5,68.5
16,68.5
16.5,68.5
17,68.5
17.5,68.5
18,68.5
18.5,68.5
19,68.5
20.5,68.5
14.5,69
15,69
15.5,69
16,69
16.5,69
17,69
17.5,69
18,69
18.5,69
19,69
19.5,69
20,69
20.5,69
23.5,69
24,69
25,69
25.5,69
26,69
15.5,69.5
16,69.5
16.5,69.5
17,69.5
17.5,69.5
18,69.5
18.5,69.5
19,69.5
19.5,69.5
20,69.5
20.5,69.5
21,69.5
21.5,69.5
22,69.5
22.5,69.5
23,69.5
23.5,69.5
24,69.5
24.5,69.5
25,69.5
25.5,69.5
26,69.5
30,69.5
16.5,70
17,70
17.5,70
18,70
18.5,70
19,70
19.5,70
20,70
20.5,70
21,70
21.5,70
22,70
22.5,70
23,70
23.5,70
24,70
24.5,70
25,70
25.5,70
26,70
26.5,70
30,70
18,70.5
18.5,70.5
19,70.5
19.5,70.5
20,70.5
20.5,70.5
21,70.5
21.5,70.5
22,70.5
22.5,70.5
23,70.5
23.5,70.5
24,70.5
24.5,70.5
25,70.5
25.5,70.5
26,70.5
26.5,70.5
27,70.5
27.5,70.5
28,70.5
28.5,70.5
29,70.5
29.5,70.5
30,70.5
19,71
19.5,71
20,71
20.5,71
21,71
21.5,71
22,71
22.5,71
23,71
23.5,71
24,71
24.5,71
25,71
25.5,71
26,71
26.5,71
27,71
27.5,71
28,71
28.5,71
29,71
29.5,71
30,71
21.5,71.5
22,71.5
22.5,71.5
23,71.5
23.5,71.5
24,71.5
24.5,71.5
25,71.5
25.5,71.5
26,71.5
26.5,71.5
27,71.5
27.5,71.5
28,71.5
28.5,71.5
29,71.5
29.5,71.5
30,71.5
23.5,72
24,72
24.5,72
25,72
25.5,72
26,72
26.5,72
27,72
27.5,72
28,72
28.5,72
29,72
29.5,72
30,72
