"Produkt","Andel Norsk"
"Gulrot",0.910298734
"Agurk",0.483087997
"Tomat",0.335967096
"Kålrot",0.313859725
"Hodekål",0.255574196
"Eple",0.22037017
"Jordbær",0.161299924
"Blomkål",0.13180539
"Isbergsalat",0.12228055
"Brokkoli",0.085182379
"Poteter",0.054632536
"Kinakål",0.050032471
"Purre",0.03882996
"Bringebær",0.033336941
"Vårløk",0.014909622
"Rosenkål",0.013096655
"Morell",0.011716636
"Pære",0.008794242
"Squash",0.008388354
"Paprika",0.00170473
"Hvitløk",0.000595303
"Søtpotet",0.000270592
"Avokado",0
"Sjampinjong",0
"Asparges",0
"Banan",0
"Drue",0
"Melon",0
"Kiwi",0
"Ananas",0
"Appelsin",0
"Grapefrukt",0
"Blåbær",0
"Mango",0
"Fersken",0
