"Aktie_navn","Aktie","ticker"
"ProShares UltraShort QQQ","QQQ","QID"
"ProShares UltraShort Lehman 20 Year Treasury","20_year_treasury","TBT"
"ProShares UltraShort Bloomberg Natural Gas","Bloomberg_natural_gas","KOLD"
"ProShares UltraShort Dow30","Dow30","DXD"
"ProShares UltraShort Russell2000","Russell2000","SQQQ"
"ProShares UltraShort Gold","Gold","GLL"
"ProShares UltraShort Oil & Gas","Oil_Gas","DUG"
"ProShares UltraShort Nasdaq Biotechnology","Nasdaq_Biotechnology","BIS"
"ProShares UltraShort Euro","Euro","EUO"
"ProShares Ultrashort FTSE China 50","FTSE_China_50","FXP"
"ProShares UltraShort Lehman 7-10 Year Treasury","Lehman_7-10_Year_Treasury","PST"
"ProShares UltraShort Financials","Financials","SKF"
"ProShares UltraShort MSCI Japan","MSCI_Japan","EWV"
"ProShares UltraShort Basic Materials","Basic_Materials","UYM"
"ProShares UltraShort Yen New","Yen_New","YCS"
"ProShares UltraShort Semiconductors","Semiconductors","SSG"
"ProShares UltraShort Technology","Technology","REW"
"ProShares UltraShort FTSE Europe ETF","FTSE_Europe_ETF","EPV"
"ProShares UltraShort MidCap400","MidCap400","MZZ"
"ProShares UltraShort Utilities","Utilities","SDP"
"ProShares UltraShort Health Care","Health_Care","RXD"
"ProShares UltraShort Consumer Goods","Consumer_Goods","SZK"
"ProShares UltraShort Industrials","Industrials","SIJ"
"ProShares UltraShort Australian Dollar","Australian_Dollar","CROC"
"ProShares UltraShort TIPS","TIPS","TPS"
"ProShares UltraShort Bloomberg Commodity","Bloomberg_Commodity","SCO"
"ProShares UltraShort Consumer Services","Consumer_Services","SCC"
"ProShares UltraShort Gold Miners ETF","Gold_Miners_ETF","GDXS"
"ProShares UltraShort Junior Miners ETF","Junior_Miners_ETF","GDJS"
