"1","2","3","4","5","6","7","8","9","10","11"
1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2
2,3,2,2,3,3,3,3,3,3,3
3,3,3,3,3,3,3,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6
6,6,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,9,9,9
9,9,9,9,10,10,11,11,11,11,11
11,12,12,12,12,12,12,13,13,13,13
13,14,14,14,14,15,15,15,15,15,15
16,16,16,16,17,17,17,17,17,18,18
18,18,18,18,18,18,19,19,19,19,20
20,20,20,21,21,22,22,23,23,24,24
25,25,26,26,27,27,27,28,28,28,28
28,28,29,29,29,29,29,29,30,31,31
32,32,33,33,34,34,35,35,36,36,36
36,37,38,39,41,41,42,42,43,44,45
46,47,48,49,49,51,52,53,54,55,56
58,59,62,64,65,66,67,69,72,76,78
79,83,85,89,93,97,99,105,107,111,115
117,120,125,126,131,131,137,140,142,0,0
