"aktie","ticker"
"Tesla","TSLA"
"Bavarian_Nordic","BAVA.CO"
"Danske_nk","DANSKE.CO"
"Vestas_Wind_Systems","VWS.CO"
"Chr_Hansen","CHR.CO"
"Alibabaroup","BABA"
"Amazon","AMZN"
"Advanced_Micro_Devices","AMD"
"Apple","AAPL"
"STOXX_600_nks","SX7P"
"Carlsberg","CARL-B.CO"
"Coloplast","COLO-B.CO"
"DAX_Index","^GDAXI"
"D/S_Norden","DNORD.CO"
"Dow_Jones_Industrial_verage","^DJI"
"DSV_Panalpina","DSV.co"
"STOXX_600_Oil_&Gas","SXEP"
"Facebook","FB"
"Genmab","GMAB.co"
"GN_Store_Nord","GN.CO"
"Alphabet","GOOG"
"Guld","GOLD"
"STOXX_600_Healthcare","SXDP"
"Intel_Corporation","INTC"
"Mastercard_orporated","MA"
"Micron_Technology","MU"
"Microsoft_Corporation","MSFT"
"NASDAQ_100_Index","NDX"
"Netflix","NFLX"
"NKT","NKT.CO"
"Nordea_nk_p","NDA FI"
"Novo_Nordisk","NOVO-B.CO"
"Novozymes","NZYM-B.CO"
"NVIDIA_Corporation","NVDA"
"Olie","CL=F"
"OMX_Stockholm_30_Index","^OMX"
"Pandora","PNDORA.CO"
"STOXX_Europe_600_Real_Estate","EXI5.DE"
"STOXX_600_sic_Resources","SW"
"Russell_2000_Index","RUT"
"Silver","SI=F"
"S&P_500_Index","^GSPC"
"Euro_Stoxx_50_Index","SX5E"
"STOXX_Europe_600_Technology","SX8P"
"STOXX_600_Tele","SXKP"
"Twitter","TWTR"
"Neste_Corporation","NESTE"
"Nokia_Corporation","NOKIA.hel"
"Cargotec_Oyj","CGCBV.hel"
"Fortum_Corporation","FORTUM.hel"
"KONE_Corporation","KNEBV.hel"
"Orion_Corporation","ORNBV.hel"
"Outokumpu_Oyj","OUT1V.hel"
"Nokian_Tyres_Plc","TYRES.hel"
"Stora_Enso_Oyj_R","STERV.hel"
"UPMKymmene_Corporation","UPM.HE"
"Wärtsilä_Corporation","WRT1V.he"
"NEL","NEL.OL"
"Adidas","ADS.DE"
"Airbusroup_SE","AIR.PA"
"Autoliv_SDB","ALIV-SDB.ST"
"Avanza_nk","AZA.ST"
"Axfood","AXFO.ST"
"Fastighets_lder","BALD-B.ST"
"BillerudKorsnäs","BILL.ST"
"Bayerische_Motoren_Werke","BMW.DE"
"BNP_Paribas","BNP.PA"
"Daimler","DDAIF"
"Deutsche_nk","DB"
"DNB","DNB.OL"
"DNO","DNO. OL"
"Elekta","EKTA-B.ST"
"Equinor","EQNR.ol"
"EQT","EQT.ST"
"Essity","ESSITY-B.ST"
"Fabege","FABG.ST"
"Fingerprint_Cards","FING-B.ST"
"Frontline","FRO"
"Gjensidige_Forsikring","GJF. OL"
"Hermes_International","RMS.PA"
"Holmen","HOLM-B.ST"
"ICAruppen","ICA.ST"
"Kobber","HG=F"
"Latour_Investmentab","LATO-B.ST"
"L'Oreal","OR.PA"
"MH_MOET_HENNESSY_LOUIS_VUITT","MC.PA"
"Mowi","MOWI.OL"
"Norsk_Hydro","NHY.OL"
"OBX_Total_Return_Index","obx.ol"
"Palladium","PA.NMX"
"Pernod_Ricard","RI.PA"
"Platinum","PL.NMX"
"Porsche","PAH3.de"
"Renault","RNO.PA"
"RWE","RWE.DE"
"Sanofi","SAN.PA"
"Svenska_Cellulosa_SCA","SCA-B.ST"
"Swedish_Orphan_iovitrum","SOBI.ST"
"Societeenerale","gle.pa"
"Storebrand","STB.OL"
"Subsea_7","SUBC.Ol"
"Telenor","TEL.OL"
"TGSNOPECeophysical_pany","TGS. OL"
"Milli_International_Cellular_SDB","TIGO-SDB.ST"
"TOTAL_SE","TOT"
"Ubisoft_Entertainment","UBI.PA"
"Volkswagen","VOW3.DE"
"Yara_International","YAR.OL"
"Zalando_SE","ZAL.DE"
